t,x,y,z
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
0.000,0.0,0.0,40.0
